# values.tsv -- GENERATED by `lab values` from run/. Do not edit it: edit
# run/ and regenerate. Every key carries its source file's stem, so two
# result files in one unit cannot collide.
# source run/summary.json sha256 4212c95c0349d178d7ada05f70254de6db7ba405bf301ed1af5639a4f57c36f7
summary.ratio_0359	0.154
summary.b_fixed_one	1020
summary.b_fixed_three	1672
summary.b_fixed_hundred	493500000.0
summary.top1_N1	3.81
summary.topN_N3	12.0
summary.topN_N5	49.9
summary.topN_N15	65162.0
summary.band_a	15
summary.band_b	73
summary.deaths_priced	3
summary.self_caught	2
summary.modules_session	11
summary.zeta_refs	0
summary.unit_assembly	"0359"
summary.unit_window	"0360"
summary.unit_shell	"0351"
summary.unit_clean	"0357"
summary.thirteen	13
summary.fourteen	14
summary.eight	8
summary.four	4
summary.rung	5
summary.unit_count	"0358"
summary.errors_13f	3
summary.errors_13g	5
summary.errors_13h	0
summary.errors_13i	0
